fold,roc_auc,precision_anomalous,recall_anomalous,f1_anomalous,n_test,n_anomalous_test
1,0.6292,0.0,0.0,0.0,147,13
2,0.6394,0.0,0.0,0.0,147,14
3,0.6929,0.0,0.0,0.0,146,13
4,0.7565,0.0,0.0,0.0,146,13
5,0.6423,0.0,0.0,0.0,146,13
