feature,importance
As,0.10218119401983472
U,0.09597054665425234
Ti,0.08270135330399019
La,0.08107152735996863
Sc,0.07951007984108875
Th,0.07921524525529469
Cr,0.07794906340084592
Ce,0.07518094311656744
Fe,0.07401786359189375
Hf,0.07114296273939354
Zr,0.07109151286042657
Au,0.0665660258284471
W,0.023275801968380735
Nb,0.008916845206991217
P,0.008687791802733838
Y,0.0025212430498906197
