feature,importance
U,0.12622390169900435
As,0.12117243122274117
La,0.1129808685270467
Ti,0.11054714734160044
Zr,0.10791354040149902
Fe,0.10729786941185994
Th,0.10718494327124485
Ce,0.10297063741704396
Au,0.08699493077268147
P,0.01298489187644039
Y,0.003728838058837766
