lon,lat,p_anomalous,label,nearest_gold_deg
-114.1617,46.0006,0.505,1,0.11816891300168612
-114.1169,46.0114,0.48,1,0.14439912742118696
-114.105,46.0153,0.38,0,0.1538238473059364
-114.0994,46.0178,0.385,0,0.1589617375345387
-114.0969,46.0172,0.335,0,0.15985774926477445
-114.1056,46.0133,0.45,0,0.15181306926612342
-114.1119,46.0064,0.43,1,0.14261945168874687
-114.1122,46.0061,0.465,1,0.14220644148561087
-114.1144,46.0042,0.3,1,0.13943575581607004
-114.1217,46.0014,0.46,1,0.13332818156713377
-114.0936,46.0003,0.46,1,0.1482688369145764
-114.1567,46.0361,0.405,0,0.15393947511928024
-114.1522,46.0378,0.325,0,0.15654612738742482
-114.1519,46.0392,0.34,0,0.15797778324815398
-114.1658,46.0433,0.365,0,0.15954018929411126
-114.1647,46.0475,0.41,0,0.16385010833075564
-114.1628,46.0517,0.4695619335347432,0,0.16827503677016115
-114.1031,46.0578,0.35,0,0.19194683638966392
-114.1031,46.0586,0.335,0,0.19266660322951606
-114.1153,46.0556,0.445,0,0.1849043103878294
-114.12,46.0531,0.455,0,0.1808078759346496
-114.1603,46.0636,0.345,0,0.18041264922393996
-114.1397,46.0694,0.345,0,0.19020537321537587
-114.1967,45.8633,0.305,1,0.0239175667658738
-114.1589,46.0728,0.36,0,0.18971853889380602
-114.0172,46.0608,0.39,0,0.24431129732371884
-114.0833,46.0633,0.44,0,0.20612792629821014
-114.0792,46.0617,0.465,0,0.2068544802512152
-114.0739,46.0592,0.375,0,0.2075659413294962
-114.0536,46.0536,0.375,0,0.21487561518236484
-114.0511,46.0506,0.41,0,0.21411085913610037
-114.0536,46.0406,0.36,0,0.20484533189701443
-114.7417,46.03,0.475,1,0.13944060384264179
-114.7558,46.0339,0.34,1,0.14564431331157643
-114.4925,46.1339,0.495,0,0.2837593240758819
-114.4914,46.1328,0.495,0,0.28220414242175945
-114.4881,46.1403,0.425,0,0.285458161557876
-114.1917,46.1919,0.46,0,0.283590370076275
-114.1922,46.1986,0.49,0,0.2896436189526696
-114.1983,46.1597,0.36,0,0.2513028491680895
-114.2039,46.1664,0.475,0,0.2553922316751243
-114.2042,46.1672,0.295,0,0.2560290803795543
-114.1819,46.1844,0.39,0,0.28050538675754205
-114.1836,46.1839,0.39782771535580524,0,0.2793564676179894
-114.1889,46.1683,0.335,0,0.2629507520430393
-114.2042,46.1508,0.305,0,0.24081078464221298
-114.205,46.1492,0.335,0,0.23902624542087483
-114.2144,46.1272,0.335,0,0.21510349601994144
-114.2139,46.1258,0.42,0,0.21400385043264955
-114.2111,46.1308,0.315,0,0.21969886663339835
-114.2164,46.14,0.445,0,0.226263620584488
-114.2164,46.1444,0.415,0,0.23038220851445926
-114.2308,46.1225,0.48,0,0.20491911575058197
-114.2361,46.1203,0.405,0,0.20117684260371702
-114.2394,46.1186,0.37,0,0.19857867458516207
-114.2406,46.11,0.32,0,0.1900031841838435
-114.2014,46.1058,0.37,0,0.20132585030243705
-114.2261,46.0778,0.48,0,0.16518617375555536
-114.2206,46.0853,0.365,0,0.17432673919969385
-114.2156,46.0956,0.365,0,0.18577619330796882
-114.2158,46.0933,0.375,0,0.18362166538837224
-114.2161,46.0914,0.4878277153558052,0,0.1817848618559871
-114.2178,46.0892,0.455,0,0.1790598838377813
-114.2317,46.0814,0.34,0,0.16617679741769015
-114.1944,46.055,0.385,0,0.1627291799278772
-114.1939,46.0544,0.42,0,0.16257894082568097
-114.1911,46.0564,0.465,0,0.16590158528476365
-114.1894,46.0317,0.3,1,0.14653900504644066
-114.1939,46.0364,0.485,1,0.14907310958050116
-114.1992,46.0331,0.345,1,0.14303634503159826
-114.2125,46.0353,0.37,1,0.13604003087326463
-114.2183,46.0322,0.38,1,0.13004103967594477
-114.2089,46.0186,0.435,1,0.12584705002501959
-114.2097,46.0219,0.395,1,0.12768421202325939
-114.2111,46.0239,0.315,1,0.12821538909194602
-114.2122,46.0253,0.36,1,0.1285345245449676
-114.2131,46.0264,0.41,1,0.12877878707303012
-114.2417,46.0342,0.375,1,0.11918942906147412
-114.2406,46.0331,0.43,1,0.1187309732125501
-114.2375,46.0331,0.355,1,0.12022779212810861
-114.235,46.0328,0.385,1,0.1212208315430987
-114.2292,46.0342,0.36,1,0.12545266039426492
-114.1869,46.0214,0.475,1,0.1362200719424286
-114.1967,46.0175,0.32,1,0.13267214477802117
-114.2544,46.0142,0.47,1,0.0956064537570555
-114.2775,46.1053,0.4,0,0.17786368375809497
-114.3053,46.1206,0.405,0,0.1923106029318225
-114.35,46.1244,0.455,0,0.20303022927633166
