lat,lon,p_anomalous
46.0258,-114.935,0.155
46.0267,-114.9247,0.145
46.0142,-114.8775,0.05
46.0133,-114.8797,0.065
46.0225,-114.7267,0.145
46.0122,-114.8794,0.07
46.0044,-114.8603,0.03
46.145,-115.0892,0.015
46.1444,-115.0936,0.04
46.1431,-115.0939,0.09
46.1403,-115.0908,0.02
46.1383,-115.0894,0.045
46.1328,-115.0808,0.05
46.0992,-115.0706,0.095
46.0953,-115.0967,0.035
46.0958,-115.0617,0.1
46.0981,-115.0528,0.03
46.1047,-115.0411,0.085
46.1011,-115.0217,0.05
46.1094,-115.0092,0.195
46.1217,-114.9653,0.04
46.1214,-114.9497,0.015
46.1211,-114.9294,0.195
46.1219,-114.9389,0.015
46.1144,-114.9075,0.075
46.1219,-115.0761,0.02
46.11,-114.9014,0.085
46.1069,-114.8975,0.135
46.0881,-114.8889,0.065
46.0794,-114.8753,0.125
46.0772,-114.8761,0.08
46.0706,-114.8619,0.08
46.0639,-114.8561,0.05
46.0617,-114.8556,0.035
46.0458,-114.8417,0.175
46.0453,-114.8383,0.055
46.0411,-114.8381,0.02
46.0181,-115.91,0.05
46.0094,-115.9506,0.045
46.0106,-115.9497,0.01
46.0042,-115.8775,0.065
46.03,-115.8861,0.04
46.1311,-115.9475,0.055
46.1203,-115.9417,0.03
46.0872,-115.9167,0.13
46.0631,-115.8778,0.045
46.0564,-115.8764,0.04
46.055,-115.8772,0.075
46.1372,-115.9386,0.085
46.0256,-115.9772,0.035
46.1442,-115.9619,0.035
46.1572,-115.9672,0.04
46.0061,-115.9614,0.02
46.0328,-115.9597,0.05
46.0353,-115.9939,0.02
46.0808,-115.9783,0.035
46.0664,-115.9747,0.09
46.0514,-115.9825,0.07
46.1425,-115.9411,0.045
46.1439,-115.8831,0.035
46.1544,-115.8128,0.04
46.1475,-115.8167,0.14
46.1567,-115.8472,0.06
46.1572,-115.8492,0.03
46.1744,-115.8222,0.155
46.1925,-115.8028,0.055
46.1869,-115.5639,0.045
46.135,-115.5883,0.21
46.0958,-115.6358,0.02
46.0664,-115.645,0.045
46.1203,-115.5986,0.015
46.1156,-115.5728,0.045
46.1031,-115.5547,0.065
46.0922,-115.5275,0.095
46.0853,-115.5172,0.065
46.0606,-115.5186,0.03
46.02,-115.5064,0.13
46.0189,-115.5067,0.06
46.025,-115.5117,0.105
46.0194,-115.6039,0.01
46.0353,-115.5142,0.02
46.0617,-115.5183,0.165
46.0533,-115.5192,0.07
46.0447,-115.5186,0.04
46.0494,-115.2294,0.04
46.0322,-115.57,0.03
46.0317,-115.5739,0.07
46.0186,-115.605,0.305
46.0775,-115.8492,0.025
46.0378,-115.8472,0.1
46.0064,-115.8211,0.065
46.0097,-115.8039,0.075
46.0636,-115.7394,0.045
46.0664,-115.7267,0.065
46.0639,-115.7264,0.035
46.0969,-115.0719,0.03
46.1261,-115.8675,0.015
46.1206,-115.7672,0.06
46.1194,-115.7719,0.135
46.1189,-115.7764,0.035
46.1378,-115.7472,0.085
46.1775,-115.7319,0.125
46.1844,-115.6889,0.02
46.1525,-115.7264,0.105
46.1361,-115.6739,0.13
46.16,-115.5906,0.025
46.1367,-115.6425,0.125
46.0769,-115.8461,0.03
46.0764,-115.8214,0.06
46.0528,-115.7786,0.03
46.0503,-115.7808,0.02
46.0475,-115.79,0.01
46.0058,-115.7558,0.065
46.1386,-115.8708,0.09
46.15,-115.7306,0.135
46.1372,-115.6881,0.045
46.1467,-115.7197,0.23
46.1658,-115.5883,0.03
46.1378,-115.6561,0.07
46.1478,-115.5953,0.08
46.0367,-115.7919,0.06
46.0383,-115.8456,0.095
46.0244,-115.8719,0.045
46.02,-115.7961,0.08
46.1917,-115.5503,0.16
46.1708,-115.5669,0.09
46.1669,-115.5758,0.09
46.1486,-115.5869,0.065
46.1903,-115.6669,0.045
46.1919,-115.6628,0.185
46.1817,-115.6353,0.16
46.1819,-115.6369,0.07
46.0417,-115.2947,0.09
46.0947,-115.2917,0.145
46.1097,-115.2942,0.06
46.0997,-115.2964,0.11
46.0783,-115.3911,0.06
46.0719,-115.3611,0.12
46.0628,-115.3478,0.095
46.0603,-115.3394,0.1
46.0572,-115.3269,0.145
46.0753,-115.3911,0.135
46.0747,-115.4133,0.055
46.0772,-115.4106,0.065
46.0806,-115.4239,0.11
46.085,-115.4489,0.075
46.0844,-115.4431,0.05
46.0844,-115.4411,0.07
46.0858,-115.4611,0.085
46.0878,-115.4842,0.04
46.0858,-115.4939,0.055
46.0981,-115.5408,0.075
46.1936,-114.8733,0.075
46.1906,-114.8742,0.02
46.1572,-114.9028,0.06
46.1383,-114.9147,0.01
46.1439,-114.9072,0.01
46.16,-114.9072,0.095
46.1733,-114.8842,0.025
46.1906,-114.9114,0.03
46.1936,-114.9119,0.02
46.1989,-114.9139,0.01
46.0083,-115.2797,0.235
46.0147,-115.2814,0.18
46.0194,-115.2853,0.22
46.0289,-115.2892,0.105
46.0447,-115.2506,0.135
46.0458,-115.2825,0.09
46.1361,-115.6292,0.03
46.1769,-115.6039,0.205
46.1836,-115.5903,0.08
46.0439,-115.2469,0.18
46.0508,-115.2192,0.095
46.0547,-115.2086,0.095
46.0586,-115.2017,0.225
46.0647,-115.1958,0.095
46.0669,-115.1956,0.085
46.0739,-115.1792,0.01
46.0786,-115.1697,0.025
46.0808,-115.1514,0.08
46.0892,-115.1197,0.065
46.0883,-115.1175,0.02
46.0883,-115.1258,0.04
46.14,-115.6653,0.045
46.1492,-115.7181,0.17
46.1386,-115.4136,0.11
46.1531,-115.4575,0.05
46.1492,-115.5017,0.125
46.1386,-115.5142,0.11
46.1,-115.5567,0.04
46.1053,-115.565,0.065
46.1225,-115.5728,0.13
46.1925,-114.7253,0.055
46.1936,-114.7236,0.18
46.1992,-114.7572,0.03
46.1972,-114.7589,0.015
46.1669,-114.5511,0.08
46.1678,-114.5661,0.025
46.1617,-114.6033,0.05
46.1606,-114.6261,0.025
46.1494,-114.6506,0.115
46.1453,-114.6669,0.08
46.1411,-114.6761,0.08
46.1617,-114.6236,0.105
46.1631,-114.6047,0.03
46.1675,-114.5569,0.035
46.2,-114.4975,0.055
46.1861,-114.4931,0.03
46.1856,-114.4947,0.065
46.1694,-114.5017,0.035
46.1119,-114.4975,0.13
46.1011,-114.4972,0.115
46.1006,-114.4986,0.115
46.0839,-114.4986,0.09
46.0719,-114.4925,0.07
46.0525,-114.5331,0.105
46.0608,-114.5758,0.065
46.0592,-114.5747,0.05
46.0578,-114.5769,0.075
46.0575,-114.6231,0.09
46.0467,-114.6539,0.085
46.0417,-114.6939,0.12
46.0353,-114.7469,0.05
46.0369,-114.7453,0.15
46.0556,-114.7214,0.145
46.0933,-114.6928,0.04
46.0919,-114.6917,0.26
46.0944,-114.6553,0.025
46.0992,-114.6339,0.035
46.1008,-114.6214,0.06
46.0997,-114.62,0.055
46.1078,-114.5789,0.055
46.1078,-114.545,0.075
46.1075,-114.5469,0.105
45.6044,-114.2472,0.74
45.6128,-114.2197,0.755
45.6106,-114.21,0.82
45.6111,-114.2097,0.825
45.5975,-114.1694,0.845
45.5708,-114.1758,0.19
45.5564,-114.1922,0.205
45.61,-114.1844,0.79
45.6556,-114.1867,0.05
45.6567,-114.2028,0.125
45.6542,-114.2039,0.025
45.7042,-114.2469,0.045
45.8833,-114.2125,0.69
45.92,-114.2097,0.025
45.935,-114.1467,0.01
45.955,-114.1828,0.18
45.9561,-114.2089,0.09
45.9864,-114.1769,0.1
45.975,-114.0633,0.18
45.9778,-114.0417,0.095
45.9789,-114.0369,0.24
45.9783,-114.0269,0.13
45.9681,-114.1022,0.055
45.8967,-114.0742,0.07
45.9019,-114.0922,0.045
45.9081,-114.0814,0.04
45.9217,-114.1064,0.075
45.9097,-114.1106,0.05
45.8883,-114.1894,0.715
45.9022,-114.1889,0.655
45.9011,-114.1894,0.69
45.9998,-114.1672,0.02
45.8319,-114.2569,0.045
45.8536,-114.2903,0.075
45.8628,-114.3147,0.125
45.8117,-114.2589,0.08
45.8,-114.2956,0.065
45.7839,-114.3275,0.115
45.7875,-114.3647,0.12
45.8144,-114.3833,0.075
45.7878,-114.3653,0.055
45.7717,-114.3292,0.03
45.7506,-114.3853,0.06
45.7522,-114.4133,0.09
45.7636,-114.4336,0.165
45.7936,-114.2633,0.06
45.7833,-114.265,0.03
45.7672,-114.2744,0.09
45.7575,-114.2828,0.085
45.7467,-114.4483,0.015
45.745,-114.4486,0.005
45.7453,-114.4278,0.055
45.8467,-114.2375,0.06
45.8517,-114.225,0.095
45.8675,-114.2144,0.16
45.87,-114.2019,0.7
45.8661,-114.1994,0.715
45.8522,-114.1514,0.115
45.8417,-114.1883,0.065
45.8106,-114.1686,0.065
45.8103,-114.1697,0.095
45.78,-114.1622,0.055
45.8111,-114.0675,0.14
45.8117,-114.0667,0.09
45.8428,-114.0403,0.055
45.86,-114.0214,0.105
45.8444,-114.0806,0.05
45.8583,-114.0728,0.075
45.5153,-114.3211,0.11
45.5203,-114.3183,0.055
