scheme,fold,roc_auc
deadzone_0.15deg,1,0.6706
deadzone_0.15deg,2,0.6822
deadzone_0.15deg,3,0.6607
deadzone_0.15deg,4,0.6513
deadzone_0.15deg,5,0.6518
block_0.4deg,1,0.5201
block_0.4deg,2,0.6764
block_0.4deg,3,0.7247
block_0.4deg,4,0.6036
block_0.4deg,5,0.6598
