fold,roc_auc,precision_anomalous,recall_anomalous,f1_anomalous,n_test,n_anomalous_test
1,0.7087,0.629,0.269,0.3768,493,145
2,0.7554,0.6909,0.2621,0.38,493,145
3,0.7255,0.5156,0.2276,0.3158,493,145
4,0.7464,0.64,0.331,0.4364,493,145
5,0.7368,0.5938,0.2603,0.3619,493,146
