fold,roc_auc,precision_anomalous,recall_anomalous,f1_anomalous,n_test,n_anomalous_test
1,0.7092,0.5797,0.2759,0.3738,493,145
2,0.7532,0.6667,0.3034,0.4171,493,145
3,0.7129,0.541,0.2276,0.3204,493,145
4,0.7296,0.6364,0.3379,0.4414,493,145
5,0.7236,0.5873,0.2534,0.3541,493,146
