fold,roc_auc,precision_anomalous,recall_anomalous,f1_anomalous,n_test,n_anomalous_test
1,0.9058,0.72,0.6207,0.6667,209,58
2,0.9136,0.8269,0.7414,0.7818,209,58
3,0.8761,0.6667,0.6552,0.6609,209,58
4,0.8798,0.75,0.7241,0.7368,209,58
5,0.9014,0.6667,0.7931,0.7244,209,58
