fold,roc_auc,precision_anomalous,recall_anomalous,f1_anomalous,n_test,n_anomalous_test
1,1.0,1.0,1.0,1.0,209,1
2,1.0,1.0,1.0,1.0,209,2
3,1.0,1.0,1.0,1.0,209,2
4,1.0,1.0,1.0,1.0,209,2
5,1.0,1.0,1.0,1.0,209,2
