feature,importance
U,0.2066862381433675
Cr,0.11316943643976082
Y,0.09509994757833631
Ti,0.08136161449417109
Fe,0.07699836538090375
As,0.07341672484910239
La,0.07045760998036148
Sc,0.05669939435750003
Th,0.05359333913131251
Ce,0.052607610746679564
P,0.04433640300461431
Zr,0.028739263448592702
Nb,0.02773635131633802
Au,0.019097701128959484
