scheme,fold,roc_auc
deadzone_0.15deg,1,0.6954
deadzone_0.15deg,2,0.681
deadzone_0.15deg,3,0.7805
deadzone_0.15deg,4,0.54
deadzone_0.15deg,5,0.7431
block_0.4deg,1,0.8498
block_0.4deg,2,0.7354
block_0.4deg,3,0.8796
block_0.4deg,4,0.6168
block_0.4deg,5,0.6347
