lab_id,lon,lat,Th,th_anomaly,th_source,rad_K,rad_eTh,rad_eU,rad_eU_eTh,rad_K_eTh,rad_eTh_high,rad_th_agree
C164627,-118.92447768,48.58266004,12.0,False,BACKGROUND,1.5801849365234375,4.461028099060059,1.7046810388565063,0.38212739328310524,0.3542199021020252,False,neither
C164630,-119.83589871,48.16903497,12.0,False,BACKGROUND,1.1204124689102173,2.4808530807495117,0.6660827398300171,0.2684893938293118,0.4516238698712944,False,neither
C164654,-118.26165798,48.14460917,20.0,False,BACKGROUND,1.3202682733535767,7.3050537109375,2.7295989990234375,0.3736589910265194,0.18073354770503652,False,neither
C164656,-119.71700565,48.3076494,32.0,True,APATITE_P,1.5348697900772095,5.354711055755615,1.645086646080017,0.30722229994310596,0.2866391433814949,False,stream_only
C164658,-119.29531256,48.05376068,11.0,False,BACKGROUND,1.5182331800460815,6.296949863433838,1.6034232378005981,0.25463490619666823,0.24110612486569208,False,neither
C164663,-119.58700809,48.65931732,6.0,False,BACKGROUND,1.3252174854278564,3.845278263092041,1.1393821239471436,0.2963068069437843,0.3446350029197187,False,neither
C164673,-118.86554873,48.89699314,20.0,False,BACKGROUND,1.7302836179733276,6.368427753448486,2.2461955547332764,0.3527080217746001,0.2716971417374381,False,neither
C164674,-118.66056327,47.9540447,11.0,False,BACKGROUND,1.2678941488265991,7.123584270477295,1.6342843770980835,0.22941883117339512,0.17798542147963495,False,neither
C164676,-118.28414723,47.67210008,7.0,False,BACKGROUND,1.225197434425354,5.82140588760376,1.8392406702041626,0.3159444137232701,0.21046418306517994,False,neither
C164681,-118.13414672,48.01571839,17.0,False,BACKGROUND,1.3914071321487427,6.834036350250244,1.9565852880477905,0.28630009964406256,0.20359960948960903,False,neither
C164692,-118.85168622,48.0954339,69.0,True,APATITE_P,1.9528157711029053,6.989516735076904,1.8398596048355103,0.263231304047413,0.2793921017890543,False,stream_only
C164696,-119.65644112,48.01653363,10.0,False,BACKGROUND,1.5817537307739258,5.715949058532715,1.7571152448654175,0.30740568659239753,0.2767263519279793,False,neither
C164703,-119.87395931,48.43792509,3.0,False,BACKGROUND,1.056662917137146,3.869140625,0.6030383706092834,0.15585847842097583,0.27310015829087264,False,neither
C164713,-119.30087124,48.20265215,17.0,False,BACKGROUND,1.7368314266204834,7.306600093841553,1.621192455291748,0.22188055107302065,0.23770719682392233,False,neither
C164716,-118.88280484,48.37099235,14.0,False,BACKGROUND,1.1999714374542236,4.653637409210205,1.569459319114685,0.3372543198162589,0.2578566682224341,False,neither
C164747,-119.13194267,48.20487664,15.0,False,BACKGROUND,1.6216386556625366,4.252069473266602,0.9475347399711609,0.22284084160159046,0.3813763311860312,False,neither
C164749,-118.44668374,48.84100699,14.0,False,BACKGROUND,1.6547095775604248,6.510421276092529,1.4303882122039795,0.2197074738399233,0.2541632111637421,False,neither
C164750,-119.78950973,48.32931522,6.0,False,BACKGROUND,1.0699362754821777,3.8406574726104736,1.2582966089248657,0.32762531360798713,0.2785815405597594,False,neither
