feature,importance
Zr,0.19370050239133677
Fe,0.17946640146252435
Ti,0.1468293504444939
U,0.1190814462314887
La,0.08760394789515394
P,0.08245498584165613
Ce,0.07123542890421235
Y,0.06995759207159434
Th,0.049670344757539536
