scheme,fold,roc_auc
deadzone_0.15deg,1,0.7439
deadzone_0.15deg,2,0.8731
deadzone_0.15deg,3,0.7986
deadzone_0.15deg,4,0.8518
deadzone_0.15deg,5,0.9439
block_0.4deg,1,0.8993
block_0.4deg,2,0.539
block_0.4deg,3,0.5742
block_0.4deg,4,0.8293
block_0.4deg,5,0.5963
