fold,roc_auc,precision_anomalous,recall_anomalous,f1_anomalous,n_test,n_anomalous_test
1,0.7781,0.7625,0.8472,0.8026,120,72
2,0.8728,0.8267,0.8611,0.8435,119,72
3,0.8129,0.7436,0.8056,0.7733,119,72
4,0.8853,0.8182,0.875,0.8456,119,72
5,0.9437,0.9286,0.9028,0.9155,119,72
