lat,lon,p_anomalous
38.795,-121.3971,0.05578877005347594
38.9258,-121.4139,0.07985394152527146
38.8232,-121.4245,0.04
38.9208,-121.4514,0.175
38.8247,-121.3861,0.03
38.9198,-121.4878,0.295
38.8242,-121.3489,0.09
38.9456,-121.4875,0.04485394152527146
38.846,-121.3689,0.05
38.9688,-121.4869,0.11
38.8463,-121.4092,0.065
38.9898,-121.4862,0.155
38.8678,-121.349,0.11589665653495441
38.9695,-121.4502,0.09233201581027668
38.8683,-121.4045,0.035
38.9462,-121.45,0.05
38.8386,-121.3203,0.05
38.9405,-121.3862,0.175
38.8631,-121.301,0.81
38.9593,-121.4139,0.1607935983382117
38.758,-121.3569,0.38833677199314837
38.987,-121.4139,0.06
38.7804,-121.3701,0.09
38.9895,-121.3886,0.07
38.8003,-121.3478,0.175
38.9848,-121.357,0.11123430962343096
38.7953,-121.2642,0.24
38.9844,-121.3206,0.7519798657718121
38.8178,-121.3033,0.065
38.9845,-121.2834,0.965
38.7944,-121.3063,0.095
38.9626,-121.293,0.75
38.7664,-121.2793,0.83
38.9517,-121.2649,0.985
38.8809,-121.2931,0.96
38.9453,-121.3034,0.81
38.9626,-121.3589,0.235
38.9266,-121.3163,0.92
38.8966,-121.3206,0.28
38.9262,-121.2735,0.83
38.8967,-121.357,0.18
38.9006,-121.2639,0.8094588573684507
38.9261,-121.3577,0.17152061855670106
38.9042,-121.293,0.78
38.7645,-121.2222,0.885
38.7938,-121.232,0.225
38.8273,-121.224,0.325
38.8539,-121.2252,0.98
38.8543,-121.1945,0.97
38.8258,-121.1913,0.975
38.957,-121.096,0.96
38.7907,-121.1906,0.95
38.7672,-121.1906,0.925
38.7671,-121.164,0.92
38.7967,-121.1529,0.98
38.8245,-121.1535,0.93
38.8442,-121.1571,0.96
38.8546,-121.1521,0.905
38.8757,-121.1521,0.93
38.8911,-121.1946,0.945
38.8274,-120.8344,0.9
38.874,-121.1992,0.945
38.872,-121.2372,0.95
38.8974,-121.2292,0.975
38.9261,-121.2266,0.975
38.9559,-121.2278,0.995
38.985,-121.2185,0.98
38.9817,-121.1978,0.985
38.9544,-121.1892,0.99
38.9275,-121.1949,0.92
38.7589,-120.8186,0.95
38.9307,-121.1568,0.985
38.9529,-121.1581,0.955
38.9561,-121.1258,0.945
38.901,-121.151,0.99
38.8984,-121.126,0.99
38.8985,-121.0982,1.0
38.9002,-121.0553,0.99
38.9276,-121.0565,0.965
38.9275,-121.085,0.98
38.9318,-121.1231,0.93
38.9851,-121.1243,0.97
38.974,-121.1437,0.9
38.9872,-121.0947,0.945
38.956,-121.0527,0.97
38.9779,-121.0602,0.91
38.9851,-121.0226,0.955
38.9574,-121.0161,0.94
38.9247,-121.017,0.8174686192468619
38.9041,-121.0132,0.95
38.8737,-121.0195,0.95
38.85,-121.0119,0.955
38.8392,-121.0429,0.96
38.8252,-121.0552,0.985
38.7874,-121.0826,0.965
38.7701,-121.0986,0.9235004843285131
38.7967,-121.0654,0.98
38.8238,-121.0115,0.94
38.7977,-121.0159,0.96
38.763,-121.0235,0.95
38.7617,-121.0424,0.92
38.7904,-121.127,0.9
38.8259,-121.1246,0.925
38.8228,-121.0925,0.95
38.8543,-121.097,0.91
38.861,-121.0744,0.35
38.8522,-121.1301,0.95
