fold,roc_auc,precision_anomalous,recall_anomalous,f1_anomalous,n_test,n_anomalous_test
1,0.7993,0.7568,0.7778,0.7671,120,72
2,0.9014,0.8052,0.8611,0.8322,119,72
3,0.8112,0.7532,0.8056,0.7785,119,72
4,0.8821,0.7778,0.875,0.8235,119,72
5,0.9542,0.9296,0.9167,0.9231,119,72
