lon,lat,p_anomalous,label,nearest_gold_deg
-121.451,38.85,0.39,0,0.15828905615991914
-121.5417,38.7656,0.395,0,0.23593420184450078
-121.5168,38.7805,0.31,0,0.22820616052157267
-121.5419,38.79,0.415,0,0.21840818139437898
-121.518,38.8085,0.405,0,0.20018999900094575
-121.5508,38.8147,0.415,0,0.19438769431216255
-121.542,38.8384,0.405,0,0.17007605269408071
-121.5106,38.8449,0.435,0,0.16470457097481808
-121.5284,38.8675,0.445,1,0.14073970193232527
-121.5554,38.8669,0.425,1,0.1431918003937368
-121.5249,38.891,0.35,1,0.11741343066276587
-121.513,38.9096,0.38,1,0.10043071094042913
-121.5241,38.9391,0.405,1,0.06955623408436733
-121.5061,38.9604,0.4,1,0.054423944179006735
-121.5408,38.9959,0.435,1,0.015034616722753828
-121.572,38.9921,0.4,1,0.042984970629282776
-121.5555,38.9703,0.405,1,0.04451226460201326
-121.5526,38.9479,0.395,1,0.06366706919593701
-121.548,38.9254,0.38,1,0.0842954548003592
-121.5679,38.9174,0.42,1,0.09757869490826077
-121.5548,38.8942,0.35,1,0.11622046162358997
-121.598,38.8901,0.3636124401913876,1,0.1352138591269424
-121.6177,38.7878,0.3636124401913876,0,0.23641545148319087
-121.6156,38.8084,0.435,0,0.2165216287117766
-121.614,38.8374,0.39,0,0.18939451866408344
-121.5766,38.7622,0.39,0,0.24783499672161124
-121.5912,38.7781,0.385,0,0.2375489248554893
-121.5865,38.8361,0.38,0,0.18047154263207071
-121.5983,38.8581,0.395,0,0.16402485695771585
-121.6045,38.9269,0.425,1,0.10883029771161967
-121.6046,38.9457,0.34,1,0.09568412459755571
-121.5872,38.9638,0.37,1,0.07072535401113035
-121.6138,38.9742,0.385,1,0.08845154436186863
-121.5944,38.9905,0.405,1,0.06472436712706757
-121.6544,38.9807,0.405,1,0.12531244032417257
-121.6925,38.9952,0.435,0,0.16088526874763628
-121.6783,38.9505,0.435,0,0.15713332460047605
-121.6874,38.9245,0.3636124401913876,0,0.17637937436106021
-121.6968,38.8936,0.445,0,0.20060853346754523
-121.6628,38.9226,0.395,0,0.1561975790465426
-121.6519,38.8935,0.385,0,0.16581994361354407
-121.6981,38.8201,0.3522248803827751,0,0.25083972911004426
-121.6813,38.8583,0.3886124401913875,0,0.21146091293664232
-121.6631,38.8586,0.3686124401913876,0,0.19881571794000433
-121.6703,38.8174,0.40361244019138753,0,0.23556105302023017
-121.6595,38.7837,0.435,0,0.25810139422327244
-121.671,38.7641,0.425,0,0.28082383748535705
-121.6799,38.791,0.44,0,0.2626871022718902
-121.4814,38.78,0.275,0,0.2235500682173811
-121.4696,38.7554,0.315,0,0.20568495059192132
-121.4546,38.7731,0.29,0,0.19627066260650983
-121.4507,38.7901,0.33,0,0.19435976178210856
-121.46,38.8244,0.3,0,0.18181031131373976
-121.4692,38.8674,0.35,0,0.15421824697485845
-121.4876,38.8493,0.42,0,0.16501467722599603
-121.4939,38.8245,0.375,0,0.18762812608987922
-121.4834,38.803,0.35,0,0.21089932124120325
-121.4879,38.897,0.395,1,0.11966784739436198
-121.4311,38.7577,0.285,0,0.17227560767560546
-121.4504,38.8968,0.405,1,0.1338046236121929
-121.4238,38.8019,0.28,0,0.16554502620133327
-121.4133,38.8969,0.33,1,0.10051809439101457
-121.3971,38.795,0.41,1,0.14285699492848686
-121.4139,38.9258,0.4,1,0.08987144874763961
-121.4245,38.8232,0.345,0,0.1569489907581413
-121.4514,38.9208,0.425,1,0.11897882038412762
-121.3861,38.8247,0.28,1,0.12152603712785291
-121.4878,38.9198,0.41,1,0.0988879552827336
-121.3489,38.8242,0.3,1,0.08995233237666128
-121.4875,38.9456,0.41,1,0.07687807034519088
-121.3689,38.846,0.27,1,0.09685602562566777
-121.4869,38.9688,0.38,1,0.059985245685911175
-121.4092,38.8463,0.27,1,0.13101428051933312
-121.4862,38.9898,0.315,1,0.049484095424692016
-121.349,38.8678,0.38,1,0.07136727331207723
-121.4502,38.9695,0.425,1,0.09061500813883255
-121.4045,38.8683,0.375,1,0.11141583235787889
-121.45,38.9462,0.38,1,0.10290646092446987
-121.3203,38.8386,0.25,1,0.058419124437130834
-121.3862,38.9405,0.41,1,0.05983015376881723
-121.301,38.8631,0.42,1,0.02879652930476808
-121.4139,38.9593,0.335,1,0.08773247574302091
-121.3569,38.758,0.0,1,0.09807605722090676
-121.4139,38.987,0.38,1,0.0841294104341662
-121.3701,38.7804,0.245,1,0.1132922283300927
-121.3886,38.9895,0.355,1,0.06319629498633822
-121.3478,38.8003,0.3,1,0.09805062467929795
-121.357,38.9848,0.31,1,0.04541886172065936
-121.2642,38.7953,0.41,1,0.036606024094399704
-121.3206,38.9844,0.335,1,0.010887469862187886
-121.3033,38.8178,0.26,1,0.06426207357376806
-121.2834,38.9845,0.415,1,0.010378521089249694
-121.3063,38.7944,0.285,1,0.059162462761443824
-121.293,38.9626,0.41,1,0.012315656701927696
-121.2793,38.7664,0.405,1,0.021736076002813392
-121.2649,38.9517,0.46,1,0.006994118958096874
-121.2931,38.8809,0.46,1,0.014039291292652089
-121.3034,38.9453,0.37,1,0.023617487165241216
-121.3589,38.9626,0.46,1,0.035109903161365495
-121.3163,38.9266,0.405,1,0.02402539697902957
-121.3206,38.8966,0.365,1,0.04382756780840134
-121.2735,38.9262,0.345,1,0.007890101393514507
-121.357,38.8967,0.445,1,0.05967282212196009
-121.2639,38.9006,0.435,1,0.004226073828040009
-121.3577,38.9261,0.39,1,0.037944476541384935
-121.293,38.9042,0.425,1,0.018372961111373546
-121.2222,38.7645,0.3936124401913875,1,0.023788673775564134
-121.232,38.7938,0.355,1,0.03293686384585204
-121.224,38.8273,0.44,1,0.03190800839914633
-121.2252,38.8539,0.435,1,0.011645857632648941
-121.1945,38.8543,0.425,1,0.011259706923363583
-121.1913,38.8258,0.405,1,0.018102845080263268
-121.096,38.957,0.43,1,0.0037631104156107
-121.1906,38.7907,0.375,1,0.003902435137190054
-121.1906,38.7672,0.4,1,0.009476750497922007
-121.164,38.7671,0.365,1,0.0183301118381725
-121.1529,38.7967,0.4286124401913875,1,0.007748612779073173
-121.1535,38.8245,0.45,1,0.00973311871910348
-121.1571,38.8442,0.41,1,0.0007409453421124128
-121.1521,38.8546,0.3696152678299501,1,0.005516611278675651
-121.1521,38.8757,0.315,1,0.007303492315326432
-121.1946,38.8911,0.43,1,0.007074814485198371
-120.8344,38.8274,0.27,1,0.0031113983994266662
-121.1992,38.874,0.445,1,0.012902131606836934
-121.2372,38.872,0.385,1,0.009037532849184217
