lat,lon,Th,Ce,La,P,U,Au,As,Ti,Fe,Zr,Y,Cr,Nb,Hf,Sc,W,lab_id
46.1664,-114.2039,13.1,91.0,46.0,,5.7,-0.09,-5.0,2299.0,2.4,108.0,,27.0,-20.0,4.3,6.3,-15.0,5033961
46.1672,-114.2042,310.9,1869.0,991.0,,16.6,0.17,24.0,4302.0,1.721,646.0,,30.0,-20.0,30.3,3.7,33.0,5033962
46.1844,-114.1819,73.2,458.0,260.0,,7.6,-0.07,-5.0,2278.0,1.584,243.0,,20.0,-20.0,11.9,4.6,-15.0,5033963
46.1839,-114.1836,11.4,72.0,36.0,,4.3,-0.11,13.0,2663.0,1.927,126.0,,25.0,28.0,5.8,5.5,-15.0,5033964
46.1683,-114.1889,34.2,141.0,86.0,,13.2,-0.07,5.0,2241.0,1.852,183.0,,21.0,-20.0,8.3,6.1,-15.0,5033965
46.1508,-114.2042,260.9,1559.0,840.0,,15.8,0.14,22.0,2851.0,1.237,594.0,,39.0,-20.0,23.6,3.5,36.0,5033966
46.1492,-114.205,6.3,42.0,23.0,,2.5,-0.08,-5.0,1345.0,2.325,76.0,,37.0,-20.0,3.2,5.6,-15.0,5033967
46.1272,-114.2144,109.4,690.0,349.0,,5.7,-0.03,9.0,1855.0,0.9515,235.0,,-11.0,-20.0,10.4,2.7,25.0,5033968
46.1258,-114.2139,50.7,311.0,173.0,,3.8,-0.06,-5.0,2020.0,1.269,163.0,,20.0,-20.0,6.5,3.9,-15.0,5033969
46.1308,-114.2111,97.8,576.0,313.0,,7.3,0.09,12.0,2156.0,2.031,242.0,,32.0,23.0,10.0,3.8,22.0,5033970
46.14,-114.2164,40.9,239.0,134.0,,7.4,-0.06,-5.0,1976.0,1.436,153.0,,20.0,-20.0,6.8,4.7,-15.0,5033971
46.1444,-114.2164,47.1,298.0,148.0,,5.1,-0.07,-5.0,2717.0,1.651,213.0,,39.0,-20.0,9.9,3.7,15.0,5033972
46.1225,-114.2308,27.0,176.0,101.0,,5.8,-0.06,-5.0,2529.0,1.642,203.0,,30.0,-20.0,7.2,5.5,-15.0,5033973
46.1203,-114.2361,20.0,114.0,70.0,,10.3,-0.06,-5.0,2955.0,1.701,198.0,,33.0,-20.0,9.1,5.7,-15.0,5033974
46.1186,-114.2394,9.1,49.0,31.0,,3.3,-0.05,-5.0,2179.0,1.434,141.0,,20.0,-20.0,5.5,4.4,-15.0,5033975
46.11,-114.2406,103.6,688.0,341.0,,10.3,-0.08,12.0,2514.0,1.226,389.0,,43.0,-20.0,17.3,3.8,-15.0,5033976
46.1058,-114.2014,104.2,609.0,320.0,,6.1,-0.07,8.0,3292.0,2.175,268.0,,18.0,-20.0,12.2,3.9,-15.0,5033977
46.0778,-114.2261,24.0,152.0,92.0,,7.0,-0.06,-5.0,3201.0,1.654,220.0,,19.0,-20.0,11.2,5.5,-15.0,5033978
46.0853,-114.2206,23.6,151.0,84.0,,4.8,-0.07,6.0,3575.0,1.794,349.0,,18.0,26.0,13.6,6.7,17.0,5033979
46.0956,-114.2156,37.5,221.0,115.0,,3.3,-0.07,6.0,2539.0,1.364,234.0,,17.0,-20.0,9.9,3.5,-15.0,5033980
46.0933,-114.2158,44.4,251.0,136.0,,3.3,-0.06,8.0,2507.0,1.77,214.0,,19.0,-20.0,8.5,4.4,-15.0,5033981
46.0914,-114.2161,10.5,70.0,37.0,,1.8,-0.07,-5.0,4522.0,2.187,150.0,,23.0,-20.0,5.7,6.5,-15.0,5033982
46.0892,-114.2178,21.0,125.0,70.0,,2.8,-0.06,-5.0,3074.0,1.662,167.0,,24.0,-20.0,6.7,4.0,-15.0,5033983
46.0814,-114.2317,9.5,77.0,39.0,,3.6,-0.09,18.0,3861.0,1.841,149.0,,-13.0,29.0,6.8,8.3,-15.0,5033984
46.055,-114.1944,29.4,167.0,96.0,,4.0,-0.05,7.0,4070.0,1.633,276.0,,24.0,-20.0,13.0,4.8,-15.0,5033985
46.0544,-114.1939,19.0,118.0,64.0,,3.2,-0.06,-5.0,4427.0,2.173,247.0,,24.0,27.0,11.0,5.8,-15.0,5033986
