lat,lon,Th,Ce,La,P,U,Au,As,Ti,Fe,Zr,Y,Cr,Nb,Hf,Sc,W,lab_id
38.1547,-105.53,12.2,110.0,49.0,,4.3,-0.07,,4504.0,3.547,,,60.0,-20.0,16.3,9.5,-15.0,5075551
38.1311,-105.5117,16.3,126.0,62.0,,5.9,-0.1,,5837.0,3.904,,,72.0,-20.0,25.9,12.0,-15.0,5075552
38.1306,-105.5867,12.3,97.0,60.0,,5.0,-0.07,,5927.0,3.445,,,62.0,-20.0,15.9,10.9,-15.0,5075553
38.1053,-105.6022,8.2,80.0,42.0,,4.7,-0.07,,4392.0,1.622,,,68.0,-20.0,7.6,10.7,-15.0,5075554
38.1239,-105.5806,9.5,107.0,51.0,,4.9,-0.08,,4399.0,2.972,,,68.0,-20.0,12.2,10.2,-15.0,5075555
38.1122,-105.5522,14.1,90.0,47.0,,4.7,-0.08,,4442.0,2.435,,,49.0,-20.0,21.1,8.7,-15.0,5075556
38.0722,-105.5833,7.5,61.0,35.0,,3.7,-0.05,,4284.0,2.417,,,45.0,-20.0,10.8,8.4,-15.0,5075557
38.6586,-105.6236,11.6,105.0,59.0,,10.0,-0.07,,5272.0,2.601,,,36.0,-20.0,7.5,9.4,-15.0,5075558
38.1047,-105.5389,9.8,99.0,45.0,,5.3,-0.07,,4709.0,2.233,,,54.0,-20.0,15.6,9.1,-15.0,5075559
38.0961,-105.5397,11.1,101.0,50.0,,5.3,-0.09,,5434.0,3.241,,,54.0,-20.0,19.1,10.1,-15.0,5075560
38.0847,-105.5425,6.7,69.0,42.0,,5.4,-0.06,,5686.0,4.516,,,72.0,-20.0,19.2,10.0,-15.0,5075561
38.0875,-105.5389,10.0,82.0,45.0,,7.8,-0.07,,5775.0,5.793,,,79.0,-20.0,19.2,12.0,-15.0,5075562
38.0875,-105.5206,9.3,100.0,39.0,,5.4,-0.07,,5110.0,3.887,,,62.0,-20.0,17.3,9.9,-15.0,5075563
38.0578,-105.5081,8.7,86.0,52.0,,10.4,-0.11,,5111.0,3.85,,,64.0,-20.0,7.7,13.1,-15.0,5075564
38.0861,-105.4636,9.8,78.0,47.0,,3.7,-0.07,,4540.0,2.635,,,46.0,-20.0,11.2,11.1,-15.0,5075565
38.0711,-105.4444,8.9,87.0,44.0,,3.2,-0.06,,4269.0,2.33,,,34.0,-20.0,10.6,9.6,19.0,5075566
38.0689,-105.4503,7.3,94.0,41.0,,3.9,-0.07,,4110.0,2.732,,,46.0,-20.0,11.3,10.9,-15.0,5075567
38.0722,-105.3278,17.8,113.0,67.0,,4.4,-0.07,,6747.0,6.191,,,101.0,-20.0,21.6,12.8,22.0,5075570
38.0661,-105.3661,10.6,77.0,45.0,,3.1,-0.06,,3707.0,2.32,,,45.0,-20.0,8.4,9.3,-15.0,5075574
38.0639,-105.3661,19.3,125.0,75.0,,6.8,-0.09,,10720.0,11.45,,,180.0,-20.0,46.4,19.4,-15.0,5075575
38.1094,-105.3878,10.4,83.0,45.0,,3.7,-0.05,,4872.0,3.018,,,34.0,-20.0,12.7,8.2,-15.0,5075581
38.2669,-105.6172,10.6,96.0,53.0,,5.3,-0.06,,6190.0,4.541,,,59.0,27.0,20.7,10.7,-15.0,5075582
38.2544,-105.5983,10.4,93.0,50.0,,4.5,-0.07,,4146.0,2.311,,,39.0,-20.0,13.4,9.9,-15.0,5075583
38.2106,-105.6328,12.4,129.0,63.0,,4.9,-0.09,,5762.0,4.147,,,64.0,-20.0,14.8,11.7,-15.0,5075584
38.2125,-105.635,7.4,71.0,38.0,,4.1,-0.06,,4553.0,2.202,,,44.0,-20.0,9.8,9.3,-15.0,5075585
38.2528,-105.5844,54.3,249.0,135.0,,29.2,-0.07,,4407.0,2.606,,,51.0,-20.0,14.3,10.1,-15.0,5075586
38.415,-105.5853,19.4,127.0,47.0,,6.1,-0.08,,7287.0,4.931,,,81.0,-20.0,11.7,21.7,-15.0,5075587
38.4711,-105.5786,12.7,127.0,64.0,,6.2,-0.1,,6383.0,4.512,,,39.0,-20.0,10.4,18.8,-15.0,5075588
38.4683,-105.5811,21.3,119.0,63.0,,5.7,-0.06,,4647.0,3.061,,,51.0,-20.0,9.6,14.0,-15.0,5075589
38.4539,-105.6072,11.8,67.0,35.0,,5.3,-0.06,,5171.0,4.254,,,85.0,-20.0,7.7,21.4,-15.0,5075590
38.4756,-105.6128,12.0,92.0,39.0,,3.6,-0.07,,6191.0,3.257,,,58.0,-20.0,9.1,15.5,-15.0,5075591
38.4611,-105.5508,15.3,131.0,59.0,,5.2,-0.08,,5356.0,3.185,,,43.0,-20.0,9.2,16.5,-15.0,5075592
38.4581,-105.5542,7.0,59.0,33.0,,3.1,-0.06,,4634.0,2.886,,,32.0,-20.0,5.7,15.2,-15.0,5075593
38.4253,-105.6506,52.5,234.0,129.0,,52.0,-0.08,,4394.0,3.181,,,57.0,-20.0,45.7,13.6,-15.0,5075594
38.4478,-105.6414,10.9,97.0,44.0,,4.3,-0.07,,6105.0,3.404,,,48.0,-20.0,11.4,15.5,-15.0,5075595
38.4492,-105.6428,11.2,89.0,42.0,,3.9,-0.09,,4055.0,3.524,,,39.0,-20.0,10.2,19.3,-15.0,5075596
38.4175,-105.6386,52.6,245.0,118.0,,12.6,-0.08,,6964.0,3.791,,,42.0,-20.0,23.9,19.0,-15.0,5075597
38.3936,-105.6394,58.1,247.0,131.0,,14.2,-0.07,,4535.0,3.351,,,44.0,23.0,32.2,15.6,-15.0,5075598
38.4267,-105.6178,13.8,106.0,52.0,,4.9,-0.07,,3815.0,2.479,,,57.0,-20.0,7.9,12.8,-15.0,5075599
38.4125,-105.6097,19.0,132.0,60.0,,5.9,-0.09,,4940.0,3.633,,,61.0,-20.0,10.2,16.8,-15.0,5075600
38.4083,-105.5836,14.8,104.0,60.0,,4.3,-0.06,,5777.0,2.938,,,70.0,-20.0,12.0,12.3,-15.0,5075601
38.3706,-105.5894,19.6,144.0,77.0,,6.8,-0.06,,7350.0,3.621,,,83.0,-20.0,23.9,13.6,-15.0,5075602
38.3333,-105.5992,14.3,135.0,58.0,,4.7,-0.07,,7729.0,4.132,,,68.0,-20.0,18.7,13.4,-15.0,5075603
38.2969,-105.6022,15.3,124.0,61.0,,4.9,-0.08,,6627.0,3.94,,,66.0,-20.0,22.7,12.1,-15.0,5075604
38.2975,-105.6114,8.4,102.0,55.0,,4.3,-0.05,,5102.0,2.105,,,35.0,-20.0,16.5,9.9,-15.0,5075605
38.3261,-105.6803,19.8,114.0,58.0,,6.1,-0.06,,7320.0,5.815,,,146.0,-20.0,20.1,14.2,-15.0,5075606
38.3275,-105.6831,26.0,169.0,76.0,,5.7,-0.08,,4413.0,2.712,,,75.0,-20.0,13.1,12.9,-15.0,5075607
38.3692,-105.6869,40.7,185.0,87.0,,10.3,-0.11,,6925.0,6.65,,,129.0,-20.0,26.3,18.3,-15.0,5075608
38.3758,-105.6881,26.0,187.0,87.0,,9.4,-0.07,,5709.0,3.359,,,61.0,25.0,35.9,17.5,-15.0,5075609
38.415,-105.6928,12.7,114.0,61.0,,5.6,-0.06,,5154.0,2.621,,,29.0,-20.0,18.7,14.5,-15.0,5075610
38.4344,-105.6897,15.9,118.0,53.0,,4.8,-0.07,,4987.0,2.991,,,52.0,-20.0,13.4,13.7,-15.0,5075611
38.4644,-105.6653,18.2,124.0,64.0,,14.6,-0.1,,5976.0,3.555,,,41.0,-20.0,17.6,17.4,-15.0,5075612
38.4819,-105.6533,13.7,69.0,34.0,,4.8,-0.08,,10080.0,5.509,,,88.0,-20.0,10.5,29.3,-15.0,5075613
38.4303,-105.7056,8.7,94.0,44.0,,3.8,-0.07,,5711.0,3.873,,,26.0,-20.0,11.1,18.9,-15.0,5075614
38.3528,-105.7344,12.4,96.0,41.0,,5.4,-0.07,,4431.0,2.087,,,43.0,-20.0,13.7,9.1,-15.0,5075615
38.3969,-105.1144,12.1,78.0,39.0,,3.3,-0.05,,2712.0,1.317,,,21.0,-20.0,12.0,5.7,-15.0,5075629
38.3578,-105.2325,11.8,86.0,46.0,,3.9,-0.05,,4761.0,1.939,,,31.0,-20.0,10.0,7.9,-15.0,5075630
38.3281,-105.2392,12.8,136.0,68.0,,5.5,-0.08,,8432.0,4.171,,,66.0,-20.0,12.0,15.6,23.0,5075631
38.3739,-105.2069,15.3,105.0,52.0,,4.3,-0.06,,4388.0,1.82,,,41.0,-20.0,11.1,7.9,-15.0,5075632
38.3731,-105.2047,14.2,116.0,58.0,,5.0,-0.08,,4308.0,2.652,,,48.0,-20.0,14.1,10.5,-15.0,5075633
38.3667,-105.1653,25.4,178.0,92.0,,6.1,-0.06,,7947.0,3.334,,,69.0,-20.0,31.4,10.3,-15.0,5075634
38.3661,-105.1606,12.2,90.0,48.0,,3.3,-0.05,,4477.0,1.415,,,23.0,-20.0,10.7,6.3,-15.0,5075635
38.3992,-105.1658,29.3,209.0,98.0,,7.0,-0.06,,7745.0,3.695,,,70.0,-20.0,23.4,8.9,26.0,5075636
38.3953,-105.1353,8.4,55.0,32.0,,2.1,-0.06,,2314.0,1.247,,,26.0,-20.0,5.2,6.0,-15.0,5075637
38.3633,-105.1258,10.5,68.0,36.0,,2.6,-0.04,,2587.0,1.164,,,20.0,-20.0,8.8,5.1,-15.0,5075638
38.3642,-105.1381,13.7,79.0,44.0,,3.5,-0.04,,3474.0,1.39,,,20.0,-20.0,15.9,5.6,-15.0,5075639
38.3267,-105.1631,11.0,79.0,38.0,,3.1,-0.06,,3598.0,1.287,,,23.0,-20.0,9.1,6.3,-15.0,5075640
38.2575,-105.2022,12.5,113.0,64.0,,23.6,-0.11,,4192.0,2.195,,,48.0,,9.0,11.5,,5075641
38.2564,-105.2011,12.4,90.0,72.0,,12.2,-0.09,,6241.0,3.049,,,79.0,-20.0,11.7,13.8,-15.0,5075642
38.3044,-105.1369,13.5,84.0,51.0,,3.9,-0.05,,4301.0,1.951,,,36.0,-20.0,13.4,9.5,21.0,5075643
38.2464,-105.1336,13.2,115.0,52.0,,4.4,-0.07,,5464.0,2.935,,,64.0,-20.0,8.8,12.8,-15.0,5075644
38.4267,-105.195,16.5,93.0,50.0,,5.9,-0.1,,4186.0,2.544,,,47.0,-20.0,7.7,11.2,-15.0,5075645
38.4478,-105.1839,16.9,99.0,54.0,,6.1,-0.07,,4113.0,2.825,,,66.0,-20.0,8.6,11.7,20.0,5075646
38.4486,-105.1761,8.1,46.0,31.0,,10.0,-0.07,,2270.0,1.917,,,50.0,-20.0,2.5,8.2,-15.0,5075647
38.4564,-105.1775,10.3,61.0,34.0,,8.6,-0.08,,2639.0,2.438,,,73.0,-20.0,3.1,9.5,-15.0,5075648
38.4619,-105.1244,11.8,71.0,43.0,,5.9,-0.07,,3340.0,2.349,,,47.0,-20.0,10.1,8.5,-15.0,5075649
38.495,-105.1281,15.6,92.0,50.0,,5.6,-0.05,,3843.0,2.022,,,51.0,-20.0,15.6,8.3,-15.0,5075650
38.1303,-105.4722,10.0,84.0,47.0,,3.8,-0.06,,5746.0,3.314,,,54.0,-20.0,13.2,10.4,-15.0,5075654
38.1206,-105.4864,7.5,68.0,36.0,,3.5,-0.05,,4122.0,2.521,,,41.0,-20.0,11.0,8.0,-15.0,5075655
38.0881,-105.4997,8.1,69.0,36.0,,3.8,-0.06,,4106.0,2.197,,,40.0,-20.0,8.2,9.4,-15.0,5075656
38.0658,-105.4886,9.4,91.0,48.0,,5.7,-0.09,,4256.0,4.589,,,80.0,-20.0,12.4,12.8,-15.0,5075657
38.05,-105.4889,6.6,77.0,39.0,,4.9,-0.06,,5448.0,2.959,,,48.0,-20.0,10.2,11.6,-15.0,5075658
38.655,-105.6111,16.6,118.0,59.0,,5.0,-0.1,,5330.0,2.406,,,32.0,-20.0,6.4,12.3,-15.0,5075662
38.3575,-105.7267,16.2,110.0,52.0,,6.3,-0.06,,5016.0,3.193,,,80.0,-20.0,14.9,11.9,-15.0,5075663
