lat,lon,Th,Ce,La,P,U,Au,As,Ti,Fe,Zr,Y,Cr,Nb,Hf,Sc,W,lab_id
36.2552,-77.8911,70.0,240.0,123.0,800.0,8.1,-0.01,1.0,,1.54,,15.0,14.0,-5.0,30.0,5.2,-2.0,5285558
36.2778,-77.8802,17.0,88.0,46.0,800.0,11.7,-0.01,2.0,8300.0,2.1,,-5.0,8.0,15.0,245.0,6.7,7.0,5285559
36.2711,-77.825,83.0,172.0,,900.0,40.2,-0.01,,,4.96,,10.0,18.0,5.0,953.0,11.2,-2.0,5285560
36.2704,-77.7867,38.0,136.0,64.0,900.0,12.7,-0.01,5.0,68300.0,4.25,,-5.0,11.0,40.0,277.0,11.8,2.0,5285561
36.2569,-77.7593,15.0,49.0,24.0,700.0,8.1,-0.01,5.0,,3.0,,-5.0,13.0,30.0,202.0,10.3,2.0,5285562
36.2303,-77.7688,,,,700.0,29.3,-0.01,2.0,,,,5.0,18.0,40.0,828.0,,-2.0,5285563
36.2194,-77.7298,51.0,181.0,83.0,700.0,32.4,-0.01,16.0,92900.0,4.42,,-5.0,15.0,40.0,893.0,12.6,-2.0,5285564
36.4727,-77.9037,,,,500.0,9.1,-0.01,,3400.0,,,15.0,-5.0,15.0,116.0,5.2,-2.0,5285585
36.241,-77.7213,14.0,34.0,24.0,700.0,8.0,-0.01,7.0,,2.86,,-5.0,9.0,40.0,190.0,8.4,-2.0,5285565
36.2753,-77.7046,94.0,328.0,156.0,800.0,31.0,-0.01,2.0,91400.0,6.77,,-5.0,25.0,25.0,769.0,16.0,-2.0,5285566
36.2834,-77.6954,60.0,187.0,101.0,900.0,31.0,-0.01,1.0,,7.7,,15.0,39.0,10.0,743.0,14.0,-2.0,5285567
36.3131,-77.6987,21.0,46.0,28.0,800.0,5.5,-0.01,,61200.0,3.39,,-5.0,14.0,5.0,109.0,10.0,-2.0,5285568
36.3166,-77.7196,74.0,306.0,139.0,700.0,21.7,-0.01,,62200.0,5.14,,15.0,16.0,30.0,546.0,8.8,-2.0,5285569
36.3066,-77.7201,60.0,269.0,130.0,1000.0,26.0,-0.01,,,4.43,,15.0,15.0,15.0,626.0,9.1,-2.0,5285570
36.2784,-77.7446,28.0,95.0,,1000.0,12.1,-0.01,,,6.38,,15.0,25.0,10.0,291.0,12.1,-2.0,5285571
36.2915,-77.8152,26.0,63.0,29.0,800.0,10.1,-0.01,,,2.45,,10.0,15.0,30.0,180.0,7.4,-2.0,5285572
36.3316,-77.7577,48.0,165.0,96.0,700.0,19.2,-0.01,6.0,59400.0,3.88,,-5.0,15.0,25.0,512.0,6.8,-2.0,5285573
36.3404,-77.7543,45.0,198.0,78.0,700.0,17.4,-0.01,10.0,,3.8,,5.0,20.0,-5.0,409.0,10.2,-2.0,5285574
36.3484,-77.7527,,,349.0,700.0,11.4,-0.01,1.0,37900.0,,,10.0,15.0,-5.0,266.0,6.0,-2.0,5285575
36.3454,-77.7065,68.0,258.0,146.0,1100.0,29.1,-0.01,1.0,,5.71,,-5.0,31.0,-5.0,698.0,10.1,-2.0,5285576
36.3761,-77.7344,17.0,60.0,29.0,500.0,8.6,-0.01,1.0,39000.0,2.43,,15.0,17.0,10.0,240.0,8.4,-2.0,5285577
36.3827,-77.7588,16.0,67.0,24.0,500.0,13.1,-0.01,,,3.42,,10.0,22.0,5.0,365.0,8.4,-2.0,5285578
36.378,-77.8518,15.0,73.0,24.0,500.0,2.7,4.486,,4100.0,0.87,,15.0,-5.0,5.0,19.0,3.4,-2.0,5285579
36.3794,-77.8717,67.0,187.0,92.0,500.0,11.8,-0.01,,,1.64,,20.0,7.0,10.0,143.0,5.2,-2.0,5285580
36.3737,-77.8945,23.0,86.0,46.0,500.0,5.2,-0.01,,5400.0,0.88,,15.0,5.0,60.0,69.0,4.6,-2.0,5285581
36.3305,-77.9259,58.0,215.0,100.0,700.0,9.8,0.1,,,2.34,,10.0,8.0,5.0,55.0,6.6,-2.0,5285582
36.3331,-77.9133,132.0,440.0,243.0,700.0,7.3,-0.01,,10600.0,0.81,,10.0,10.0,40.0,16.0,3.6,-2.0,5285583
36.4383,-77.8834,21.0,31.0,27.0,-20.0,3.5,-0.01,3.0,2900.0,0.75,,-5.0,-5.0,30.0,22.0,2.0,-2.0,5285584
36.4698,-77.8152,,,,700.0,4.7,-0.01,,4800.0,,,10.0,5.0,10.0,30.0,5.6,-2.0,5285586
36.4164,-77.7695,12.0,52.0,15.0,600.0,10.3,-0.01,1.0,29900.0,2.25,,5.0,12.0,25.0,244.0,4.4,-2.0,5285587
36.4189,-77.736,13.0,57.0,28.0,600.0,7.6,-0.01,8.0,25600.0,2.0,,15.0,11.0,25.0,177.0,5.0,-2.0,5285588
36.4259,-77.7329,7.0,18.0,9.0,700.0,4.3,-0.01,4.0,,1.41,,20.0,6.0,25.0,94.0,5.0,-2.0,5285589
36.4286,-77.7146,36.0,115.0,66.0,600.0,11.0,-0.01,2.0,81400.0,3.6,,15.0,22.0,5.0,224.0,8.1,-2.0,5285590
36.458,-77.7022,33.0,90.0,60.0,900.0,13.6,-0.01,10.0,39800.0,2.07,,5.0,14.0,-5.0,326.0,7.4,-2.0,5285591
36.4323,-77.6541,26.0,101.0,57.0,600.0,10.0,0.042,2.0,50000.0,3.11,,-5.0,-5.0,15.0,195.0,5.5,-2.0,5285592
36.3992,-77.6662,40.0,178.0,98.0,900.0,18.0,-0.01,,35900.0,2.66,,-5.0,15.0,15.0,371.0,8.3,-2.0,5285593
36.3471,-77.6793,17.0,84.0,34.0,800.0,8.3,-0.01,2.0,,2.34,,10.0,12.0,5.0,166.0,7.1,-2.0,5285594
36.302,-77.6684,26.0,50.0,44.0,500.0,8.6,-0.01,4.0,,1.31,,5.0,10.0,-5.0,171.0,2.0,-2.0,5285595
36.3066,-77.636,56.0,219.0,124.0,700.0,23.3,-0.01,,49100.0,3.68,,-5.0,29.0,5.0,469.0,5.8,-2.0,5285596
