lat,lon,Th,Ce,La,P,U,Au,As,Ti,Fe,Zr,Y,Cr,Nb,Hf,Sc,W,lab_id
38.8586,-121.6631,7.0,37.0,16.0,935.0,2.4,,,3938.0,4.41,47.0,15.0,141.0,6.0,-15.0,17.0,,5189840
38.8174,-121.6703,5.0,36.0,15.0,716.0,2.5,,,3639.0,5.25,53.0,17.0,141.0,6.0,-15.0,19.0,,5189841
38.7837,-121.6595,3.0,27.0,12.0,807.0,2.2,,,3388.0,4.94,47.0,16.0,131.0,5.0,-15.0,17.0,,5189842
38.7641,-121.671,-2.0,17.0,8.0,767.0,1.5,,,3187.0,3.75,38.0,12.0,118.0,4.0,-15.0,13.0,,5189843
38.791,-121.6799,-2.0,28.0,11.0,730.0,2.1,,,3551.0,4.6,46.0,15.0,124.0,4.0,-15.0,16.0,,5189844
38.78,-121.4814,3.0,33.0,13.0,297.0,1.9,,,3300.0,2.39,37.0,10.0,62.0,6.0,-15.0,9.0,,5189847
38.7554,-121.4696,-2.0,29.0,11.0,153.0,1.8,,,3329.0,2.57,34.0,10.0,63.0,5.0,-15.0,10.0,,5189848
38.7731,-121.4546,4.0,28.0,12.0,221.0,1.7,,,2853.0,2.09,30.0,8.0,57.0,6.0,-15.0,8.0,,5189849
38.7901,-121.4507,4.0,22.0,10.0,154.0,2.0,,,3202.0,2.02,34.0,9.0,46.0,4.0,-15.0,8.0,,5189850
38.8244,-121.46,4.0,32.0,11.0,193.0,2.0,,,3250.0,2.12,37.0,9.0,50.0,6.0,-15.0,8.0,,5189851
38.8674,-121.4692,3.0,28.0,11.0,362.0,1.6,,,3919.0,2.97,33.0,13.0,71.0,5.0,-15.0,13.0,,5189853
38.8493,-121.4876,-2.0,27.0,12.0,429.0,1.8,,,4280.0,4.18,34.0,16.0,101.0,5.0,-15.0,17.0,,5189854
38.8245,-121.4939,9.0,42.0,16.0,324.0,1.6,,,3737.0,3.37,33.0,14.0,81.0,7.0,-15.0,14.0,,5189855
38.803,-121.4834,5.0,22.0,10.0,369.0,1.8,,,2949.0,2.31,34.0,9.0,56.0,4.0,-15.0,9.0,,5189856
38.897,-121.4879,7.0,32.0,14.0,471.0,1.7,,,3612.0,4.12,34.0,15.0,98.0,6.0,-15.0,17.0,,5189857
38.7577,-121.4311,6.0,27.0,11.0,160.0,1.7,,,2740.0,1.91,32.0,8.0,52.0,6.0,-15.0,7.0,,5189858
38.8968,-121.4504,5.0,25.0,9.0,527.0,1.2,,,3205.0,3.76,26.0,13.0,90.0,6.0,-15.0,14.0,,5189859
38.8019,-121.4238,8.0,33.0,14.0,101.0,2.4,,,4316.0,2.38,42.0,10.0,71.0,8.0,-15.0,9.0,,5189860
38.8969,-121.4133,6.0,35.0,13.0,170.0,,,,3719.0,3.38,28.0,16.0,82.0,7.0,-15.0,15.0,,5189861
38.795,-121.3971,5.0,26.0,13.0,526.0,1.7,,,3904.0,4.39,49.0,15.0,119.0,5.0,-15.0,16.0,,5189862
38.9258,-121.4139,-2.0,33.0,17.0,344.0,1.8,,,4082.0,3.82,46.0,16.0,83.0,5.0,-15.0,13.0,,5189863
38.8232,-121.4245,3.0,20.0,11.0,181.0,1.7,,,3022.0,1.98,34.0,9.0,56.0,4.0,-15.0,8.0,,5189864
38.9208,-121.4514,-2.0,22.0,8.0,243.0,1.4,,,3992.0,3.37,29.0,14.0,83.0,4.0,-15.0,16.0,,5189865
38.8247,-121.3861,6.0,37.0,16.0,139.0,1.9,,,3685.0,2.84,45.0,13.0,75.0,6.0,-15.0,11.0,,5189866
38.9198,-121.4878,-2.0,22.0,10.0,276.0,1.2,,,4559.0,3.77,38.0,16.0,98.0,4.0,-15.0,18.0,,5189867
38.8242,-121.3489,8.0,43.0,23.0,270.0,2.5,,,3146.0,2.46,49.0,13.0,47.0,7.0,-15.0,10.0,,5189868
38.9456,-121.4875,-2.0,34.0,14.0,363.0,1.8,,,4653.0,3.64,47.0,13.0,114.0,7.0,-15.0,14.0,,5189869
38.846,-121.3689,6.0,36.0,19.0,222.0,2.6,,,3191.0,2.52,49.0,11.0,45.0,6.0,-15.0,9.0,,5189870
38.9688,-121.4869,5.0,40.0,20.0,582.0,2.6,,,3866.0,3.51,48.0,14.0,120.0,7.0,-15.0,15.0,,5189871
38.8463,-121.4092,14.0,36.0,15.0,292.0,1.7,,,3392.0,2.54,43.0,11.0,61.0,6.0,-15.0,9.0,,5189872
38.9898,-121.4862,10.0,44.0,18.0,470.0,3.1,,,3977.0,2.89,40.0,11.0,106.0,8.0,-15.0,11.0,,5189873
38.8678,-121.349,4.0,32.0,15.0,340.0,1.8,,,4492.0,4.2,33.0,18.0,97.0,7.0,-15.0,17.0,,5189874
38.9695,-121.4502,8.0,43.0,16.0,459.0,1.7,,,4148.0,3.79,43.0,12.0,107.0,9.0,-15.0,13.0,,5189875
38.8683,-121.4045,9.0,34.0,12.0,328.0,1.6,,,3863.0,3.2,30.0,14.0,79.0,5.0,-15.0,14.0,,5189876
38.9462,-121.45,6.0,41.0,14.0,343.0,1.6,,,4456.0,3.81,37.0,15.0,95.0,8.0,-15.0,16.0,,5189877
38.8386,-121.3203,10.0,36.0,16.0,251.0,2.2,,,3041.0,2.39,39.0,10.0,48.0,7.0,-15.0,9.0,,5189878
38.9405,-121.3862,-2.0,31.0,10.0,438.0,1.5,,,4956.0,4.29,33.0,18.0,105.0,7.0,-15.0,21.0,,5189879
38.8631,-121.301,-2.0,22.0,8.0,189.0,1.2,,,3631.0,3.36,25.0,12.0,92.0,4.0,-15.0,13.0,,5189880
38.9593,-121.4139,-2.0,26.0,10.0,308.0,1.6,,,4000.0,3.11,33.0,12.0,82.0,5.0,-15.0,15.0,,5189881
38.758,-121.3569,,,,,,,,,,,,,,,,,5189882
38.987,-121.4139,-2.0,24.0,9.0,400.0,2.0,,,3106.0,2.43,29.0,8.0,82.0,7.0,-15.0,9.0,,5189883
38.7804,-121.3701,3.0,33.0,17.0,231.0,,,,3545.0,2.53,49.0,10.0,42.0,7.0,-15.0,8.0,,5189884
38.9895,-121.3886,-2.0,25.0,11.0,208.0,1.6,,,3882.0,3.03,45.0,10.0,70.0,6.0,-15.0,10.0,,5189885
38.8003,-121.3478,6.0,42.0,22.0,171.0,3.0,,,3494.0,3.09,50.0,12.0,47.0,8.0,-15.0,11.0,,5189886
38.9848,-121.357,7.0,29.0,12.0,219.0,2.0,,,4224.0,2.92,47.0,10.0,76.0,6.0,-15.0,10.0,,5189887
38.7953,-121.2642,8.0,42.0,17.0,690.0,0.6,,,5257.0,5.71,97.0,10.0,64.0,7.0,-15.0,14.0,,5189888
38.9844,-121.3206,-2.0,26.0,16.0,509.0,2.2,,,4073.0,2.96,36.0,15.0,69.0,5.0,-15.0,11.0,,5189889
38.8178,-121.3033,9.0,36.0,19.0,186.0,2.6,,,3136.0,2.34,44.0,10.0,39.0,6.0,-15.0,9.0,,5189890
38.9845,-121.2834,-2.0,27.0,8.0,497.0,0.5,,,5799.0,7.12,30.0,13.0,188.0,5.0,-15.0,24.0,,5189891
38.7944,-121.3063,7.0,34.0,13.0,336.0,2.1,,,3678.0,3.08,47.0,11.0,58.0,6.0,-15.0,10.0,,5189892
38.9626,-121.293,5.0,26.0,12.0,378.0,1.7,,,4204.0,3.73,39.0,13.0,99.0,5.0,-15.0,14.0,,5189893
38.7664,-121.2793,-2.0,15.0,7.0,440.0,1.9,,,3482.0,3.05,26.0,10.0,64.0,4.0,-15.0,11.0,,5189894
38.9517,-121.2649,-2.0,23.0,8.0,303.0,1.0,,,3793.0,4.9,17.0,15.0,61.0,4.0,-15.0,22.0,,5189895
38.8809,-121.2931,-2.0,24.0,9.0,717.0,1.2,,,4262.0,4.74,22.0,17.0,123.0,4.0,-15.0,20.0,,5189896
38.9453,-121.3034,8.0,18.0,7.0,606.0,2.1,,,3775.0,1.99,34.0,5.0,53.0,7.0,-15.0,7.0,,5189897
38.9626,-121.3589,2.0,34.0,17.0,405.0,1.8,,,5349.0,4.52,74.0,14.0,68.0,8.0,-15.0,14.0,,5189898
38.9266,-121.3163,5.0,29.0,9.0,248.0,1.3,,,5059.0,4.33,21.0,16.0,99.0,5.0,-15.0,18.0,,5189899
38.8966,-121.3206,6.0,30.0,9.0,294.0,1.2,,,3357.0,3.22,20.0,13.0,85.0,5.0,-15.0,14.0,,5189900
38.9262,-121.2735,6.0,20.0,9.0,245.0,1.7,,,3323.0,3.06,22.0,15.0,69.0,5.0,-15.0,13.0,,5189901
38.8967,-121.357,8.0,23.0,9.0,440.0,1.5,,,3351.0,3.27,24.0,13.0,84.0,4.0,-15.0,13.0,,5189902
38.9006,-121.2639,3.0,15.0,7.0,292.0,1.6,,,4717.0,4.1,27.0,13.0,106.0,-4.0,-15.0,15.0,,5189903
38.9261,-121.3577,-2.0,29.0,11.0,261.0,1.5,,,4801.0,4.03,29.0,18.0,95.0,6.0,-15.0,19.0,,5189904
38.9042,-121.293,3.0,23.0,7.0,172.0,1.6,,,3817.0,3.33,26.0,16.0,75.0,5.0,-15.0,16.0,,5189905
38.7645,-121.2222,7.0,27.0,14.0,345.0,2.1,,,5718.0,5.15,76.0,10.0,53.0,7.0,-15.0,12.0,,5189906
38.7938,-121.232,8.0,25.0,14.0,348.0,2.0,,,3330.0,2.89,26.0,15.0,59.0,4.0,-15.0,11.0,,5189907
38.8273,-121.224,7.0,23.0,12.0,356.0,1.5,,,4442.0,4.38,17.0,14.0,73.0,5.0,-15.0,13.0,,5189908
38.8539,-121.2252,3.0,20.0,9.0,336.0,1.9,,,6576.0,6.6,45.0,20.0,107.0,6.0,-15.0,24.0,,5189909
38.8543,-121.1945,2.0,19.0,8.0,334.0,1.3,,,3335.0,3.43,11.0,15.0,55.0,-4.0,-15.0,14.0,,5189910
38.8258,-121.1913,-2.0,18.0,8.0,619.0,2.1,,,3581.0,3.73,11.0,18.0,71.0,4.0,-15.0,14.0,,5189911
38.957,-121.096,-2.0,22.0,11.0,509.0,1.0,,,5249.0,6.34,30.0,17.0,846.0,7.0,-15.0,18.0,,5189940
38.7907,-121.1906,-2.0,12.0,6.0,286.0,1.0,,,1725.0,1.95,15.0,9.0,35.0,-4.0,-15.0,9.0,,5189912
38.7672,-121.1906,-2.0,15.0,7.0,211.0,1.6,,,1517.0,1.47,9.0,6.0,10.0,-4.0,-15.0,4.0,,5189913
38.7671,-121.164,-2.0,19.0,9.0,216.0,2.0,,,2515.0,2.34,15.0,8.0,25.0,5.0,-15.0,7.0,,5189914
38.7967,-121.1529,6.0,14.0,7.0,221.0,0.8,,,5325.0,5.33,20.0,17.0,217.0,4.0,-15.0,23.0,,5189915
