fold,roc_auc,precision_anomalous,recall_anomalous,f1_anomalous,n_test,n_anomalous_test
1,0.6948,0.611,0.534,0.5699,935,397
2,0.7385,0.659,0.5793,0.6166,935,397
3,0.7176,0.6435,0.5365,0.5852,934,397
4,0.7042,0.6325,0.529,0.5761,934,397
5,0.7167,0.6159,0.5088,0.5572,934,397
