feature,importance
U,0.17347222584827826
Cr,0.12362920916398284
Th,0.08835518788890692
Ti,0.08699616628849599
Fe,0.08215842180260634
Sc,0.07922528280126213
Hf,0.07731573705508003
Ce,0.06928806749463189
La,0.06400615452819981
Au,0.05790166002823912
Zr,0.038084050178316245
As,0.038064095710047076
Nb,0.012731227571071656
W,0.008772513640881545
